SalesOrderID,SumofLineTotal,LineTotalCount,AvgLineTotal,MinLineTotal,MaxLineTotal
43659,20565.620600,12,1713.801716,10.373000,6074.982000
43660,1294.252900,2,647.126450,419.458900,874.794000
43661,32726.478600,15,2181.765240,20.746000,8099.976000
43662,28832.528900,22,1310.569495,178.580800,5248.764000
43663,419.458900,1,419.458900,419.458900,419.458900
43664,24432.608800,8,3054.076100,28.840400,8099.976000
43665,14352.771300,10,1435.277130,10.373000,4049.988000
43666,5056.489600,6,842.748266,356.898000,2146.962000
43667,6107.082000,4,1526.770500,17.100000,2039.994000
43668,35944.156200,29,1239.453662,20.186500,5248.764000
43669,714.704300,1,714.704300,714.704300,714.704300
43670,6122.082000,4,1530.520500,5.700000,4079.988000
43671,8128.787600,11,738.980690,20.186500,2146.962000
43672,6124.182000,3,2041.394000,34.200000,4049.988000
43673,3746.201500,11,340.563772,5.186500,874.794000
43674,2624.382000,1,2624.382000,2624.382000,2624.382000
43675,5716.310200,9,635.145577,10.373000,1749.588000
43676,14203.458000,5,2840.691600,5.700000,6074.982000
43677,7793.110800,12,649.425900,20.186500,2146.962000
43678,9799.924300,19,515.785489,15.559500,1749.588000
43679,1316.057500,3,438.685833,57.680800,838.917800
43680,11397.499200,15,759.833280,15.559500,4293.924000
43681,13787.543400,21,656.549685,10.373000,2624.382000
43682,3875.722900,5,775.144580,28.840400,1749.588000
43683,42813.433300,13,3293.341023,15.559500,12149.964000
43684,5596.470500,6,932.745083,419.458900,1749.588000
43685,2736.567800,4,684.141950,183.938200,1258.376700
43686,3463.299800,3,1154.433266,419.458900,2624.382000
43687,1258.376700,2,629.188350,419.458900,838.917800
43688,12718.084400,11,1156.189490,178.580800,4293.924000
43689,33997.370200,21,1618.922390,178.580800,4293.924000
43690,1297.590100,4,324.397525,10.373000,838.917800
43691,874.794000,1,874.794000,874.794000,874.794000
43692,38510.897300,28,1375.389189,31.119000,6998.352000
43693,20541.407200,10,2054.140720,34.200000,6119.982000
43694,20645.634000,11,1876.875818,5.186500,6119.982000
43695,39373.781000,8,4921.722625,11.400000,12149.964000
43696,419.458900,1,419.458900,419.458900,419.458900
43697,3578.270000,1,3578.270000,3578.270000,3578.270000
43698,3399.990000,1,3399.990000,3399.990000,3399.990000
43699,3399.990000,1,3399.990000,3399.990000,3399.990000
43700,699.098200,1,699.098200,699.098200,699.098200
43701,3399.990000,1,3399.990000,3399.990000,3399.990000
43702,3578.270000,1,3578.270000,3578.270000,3578.270000
43703,3578.270000,1,3578.270000,3578.270000,3578.270000
43704,3374.990000,1,3374.990000,3374.990000,3374.990000
43705,3399.990000,1,3399.990000,3399.990000,3399.990000
43706,3578.270000,1,3578.270000,3578.270000,3578.270000
43707,3578.270000,1,3578.270000,3578.270000,3578.270000
43708,699.098200,1,699.098200,699.098200,699.098200
43709,3578.270000,1,3578.270000,3578.270000,3578.270000
43710,3578.270000,1,3578.270000,3578.270000,3578.270000
43711,3578.270000,1,3578.270000,3578.270000,3578.270000
43712,3578.270000,1,3578.270000,3578.270000,3578.270000
43713,3578.270000,1,3578.270000,3578.270000,3578.270000
43714,3578.270000,1,3578.270000,3578.270000,3578.270000
43715,3578.270000,1,3578.270000,3578.270000,3578.270000
43716,3578.270000,1,3578.270000,3578.270000,3578.270000
43717,699.098200,1,699.098200,699.098200,699.098200
43718,3578.270000,1,3578.270000,3578.270000,3578.270000
43719,3578.270000,1,3578.270000,3578.270000,3578.270000
43720,3578.270000,1,3578.270000,3578.270000,3578.270000
43721,3578.270000,1,3578.270000,3578.270000,3578.270000
43722,3578.270000,1,3578.270000,3578.270000,3578.270000
43723,699.098200,1,699.098200,699.098200,699.098200
43724,3578.270000,1,3578.270000,3578.270000,3578.270000
43725,3578.270000,1,3578.270000,3578.270000,3578.270000
43726,699.098200,1,699.098200,699.098200,699.098200
43727,3578.270000,1,3578.270000,3578.270000,3578.270000
43728,3578.270000,1,3578.270000,3578.270000,3578.270000
43729,3399.990000,1,3399.990000,3399.990000,3399.990000
43730,3399.990000,1,3399.990000,3399.990000,3399.990000
43731,3578.270000,1,3578.270000,3578.270000,3578.270000
43732,3374.990000,1,3374.990000,3374.990000,3374.990000
43733,3578.270000,1,3578.270000,3578.270000,3578.270000
43734,3578.270000,1,3578.270000,3578.270000,3578.270000
43735,3578.270000,1,3578.270000,3578.270000,3578.270000
43736,3399.990000,1,3399.990000,3399.990000,3399.990000
43737,3578.270000,1,3578.270000,3578.270000,3578.270000
43738,3578.270000,1,3578.270000,3578.270000,3578.270000
43739,3578.270000,1,3578.270000,3578.270000,3578.270000
43740,3578.270000,1,3578.270000,3578.270000,3578.270000
43741,3578.270000,1,3578.270000,3578.270000,3578.270000
43742,3578.270000,1,3578.270000,3578.270000,3578.270000
