ProductID,LineTotal
707,157772.394392
708,160869.517836
709,6060.388200
710,513.000000
711,165406.617049
712,51229.445623
713,21445.710000
714,115249.214976
715,198754.975360
716,95611.197080
717,394255.572400
718,395182.699300
719,89872.173600
722,177635.904000
723,24844.692200
725,194692.599104
726,132125.252200
727,20104.443400
729,195933.409400
730,137213.485128
732,89224.500000
733,32120.820000
736,45164.684600
738,299595.522966
739,269874.009600
741,141635.100000
742,499556.572400
743,901590.233600
744,13765.920000
745,106078.560000
747,501788.197700
748,930780.680700
749,1769096.688000
750,1340419.942000
751,1540803.062000
752,1415563.612000
753,1847818.628000
754,507978.295900
755,306177.900000
756,302678.724000
757,136467.864000
758,621103.740000
759,304012.641100
760,1016529.018414
761,879827.938243
762,943340.559788
763,878666.663660
764,523630.145800
765,869632.782451
766,521898.261376
767,312250.813900
768,509245.008992
769,310946.576200
770,1042909.778030
771,1291868.700375
772,1186494.850299
773,1217210.359959
774,1019657.001000
775,1339997.254626
776,1254722.732292
777,1365852.378018
778,1234276.030375
779,3693678.025272
780,3438478.860423
781,3434256.941928
782,4400592.800400
783,4009494.761841
784,3309673.216908
785,442477.086952
786,501648.875060
787,484051.518000
788,479071.900108
789,1448122.478985
790,1348759.497540
791,1066766.610000
792,1587008.182500
793,2516857.314918
794,2347655.953454
795,2012447.775000
796,1506377.632500
797,1227910.080860
798,1071291.781192
799,932039.589000
800,717825.911500
801,1233938.877660
802,16897.080000
804,61034.609624
805,1949.400000
806,39909.108385
807,19083.690000
808,22008.268728
809,51753.705952
810,34375.348000
811,5422.537500
813,43395.596800
814,107557.584000
815,22462.844954
816,33360.390000
817,39988.638000
819,79354.039800
820,112286.412000
822,303330.841200
823,18005.274000
824,119892.156750
825,166013.283557
826,58655.370200
827,10574.784000
828,20238.160800
830,14229.408000
831,129529.464000
832,200284.497760
833,68167.514400
835,485700.546949
836,301286.789100
838,375026.977200
839,89872.173600
841,20364.997268
843,16240.220000
844,13514.687276
849,45594.283686
850,16017.330000
852,91330.800936
853,17727.636000
854,94090.642908
855,47214.369376
856,86166.045931
857,34178.202000
858,36490.550835
859,54545.487338
860,22912.259476
861,11410.296500
862,48210.176172
863,69943.214246
864,156398.067950
865,90250.600550
866,12839.700000
867,137164.127325
868,57685.758000
869,136774.017063
870,28654.163327
871,20229.750000
872,15390.880000
873,8232.597632
874,9387.149432
875,13784.589952
876,237096.156000
877,18406.972080
878,46619.580000
879,39591.000000
880,105826.418334
881,71606.073160
882,21973.930000
883,98472.717334
884,129145.570124
885,232378.260212
886,69127.135050
887,52404.102000
888,49994.718000
889,323268.255972
890,68667.444000
891,74690.904000
892,324333.103309
893,221720.952434
894,25725.228000
895,63216.432000
896,42210.972000
897,800.208000
898,3000.780000
899,58699.391208
900,45611.856000
902,7201.872000
903,5001.300000
904,195826.389044
905,136970.658000
906,41069.352000
907,15719.400000
908,5636.957088
909,12497.167160
910,16392.096000
911,162.720000
913,4232.256000
914,1480.752000
915,1972.656000
916,13454.784000
917,100569.357220
918,58777.530000
919,6970.920000
920,67332.750000
921,15444.050000
922,9480.240000
923,7425.120000
924,63396.702000
925,93584.422996
926,57851.364000
927,2248.110000
928,21541.380000
929,34818.390000
930,48860.000000
931,22435.560000
932,23140.740000
933,27970.800000
934,27105.650000
935,10908.006000
936,12852.630000
937,38018.325800
938,21087.192000
939,24624.894000
940,32849.544000
941,7143.318000
942,1529.178000
943,1198.992000
944,69934.276220
945,44484.267800
946,1548.624000
947,12087.240000
948,50299.311000
949,44855.244000
950,10464.792000
951,148622.582216
952,9377.710144
953,635723.715900
954,1426372.869324
955,981187.849200
956,667158.148800
957,1518133.101147
958,290075.118375
959,210946.176000
960,135284.008125
961,358121.888775
962,291747.261750
963,196809.976125
964,130898.575500
965,351547.711410
966,1586953.573023
967,1071401.058000
968,743353.026000
969,1721242.514355
970,438867.478140
971,286218.660000
972,772302.012300
973,1657198.182549
974,1120066.364309
975,694003.920000
976,1774883.557085
977,361145.312000
978,133365.033375
979,348581.503515
980,241773.758000
981,323703.820668
982,217457.874000
983,227347.667276
984,145089.432000
985,141360.498000
986,122512.431600
987,142897.270800
988,161293.345200
989,101734.116000
990,136293.476000
991,125925.668000
992,157569.082000
993,96982.204000
994,12244.932000
996,39581.442000
997,290298.624000
998,578174.312870
999,515666.906436
